title,description,issue,volume,series,publisher,date,creators,format,value
"The Untouchable, Hunter",Regular Bernard Chang Cover,35A,4,Nightwing,DC Comics,2018-01-26,Sam Humphries | Bernard Chang,,0
"The Untouchable, Relentless",Regular Bernard Chang Cover,36A,4,Nightwing,DC Comics,2018-01-26,Sam Humphries | Bernard Chang,,0
N/A,Variant Yasmine Putri Cover,37B,4,Nightwing,DC Comics,2018-01-26,Sam Humphries | Klaus Janson,,0
"The Untouchable, Infiltration",Regular Bernard Chang Cover,38A,4,Nightwing,DC Comics,2018-05-25,Sam Humphries | Bernard Chang,,0
"The Untouchable, Face Off",Regular Phil Jimenez Cover,39A,4,Nightwing,DC Comics,2018-05-25,Sam Humphries | Jamal Campbell | Phil Jiménez,,0
"The Untouchable, Deep Dive",Regular Bernard Chang Cover,40A,4,Nightwing,DC Comics,2018-05-25,Sam Humphries | Bernard Chang,,0
"The Untouchable, Final Judgment",Regular Bernard Chang Cover,41A,4,Nightwing,DC Comics,2018-05-25,Sam Humphries | Bernard Chang | Jamal Campbell,,0
"The Noble, The Obnoxious & The Inept",Regular Jorge Jimenez Cover,43A,4,Nightwing,DC Comics,2018-05-25,Michael Moreci | Minkyu Jung,,0
N/A,Regular Declan Shalvey Cover,44A,4,Nightwing,DC Comics,2018-05-25,Benjamin Percy | Christopher Mooneyham,,0
"The Bleeding Edge, Part Two",Regular Declan Shalvey Cover,45A,4,Nightwing,DC Comics,2018-06-08,Benjamin Percy | Christopher Mooneyham | Klaus Janson,,0
N/A,Regular Mike Perkins Cover,46A,4,Nightwing,DC Comics,2018-07-12,Benjamin Percy | Lalit Kumar Sharma | Christopher Mooneyham,,0
"The Bleeding Edge, Part 4",Regular Mike Perkins Cover,47A,4,Nightwing,DC Comics,2019-01-19,Benjamin Percy | Christopher Mooneyham | Klaus Janson,,0
"Harm's Way, Part One",Regular Mike Perkins Cover,48A,4,Nightwing,DC Comics,2019-01-19,Benjamin Percy | Amancay Nahuelpan,,0
"Harm's Way, Part Two",Regular Mike Perkins Cover,49A,4,Nightwing,DC Comics,2019-01-19,Benjamin Percy | Amancay Nahuelpan,,0
"Knight Terrors, Part One",Regular Chris Mooneyham Cover,50A,4,Nightwing,DC Comics,2019-01-19,Benjamin Percy | Klaus Janson | Travis Moore,,0
"Knight Terrors, Part Two",Regular Mike Perkins Enhanced Foil Cover,51A,4,Nightwing,DC Comics,2019-01-19,Scott Lobdell | Fabian Nicieza | Travis Moore,,0
"Knight Terrors, Heroic Tendencies",Regular Mike Perkins Cover,52A,4,Nightwing,DC Comics,2019-06-10,Scott Lobdell | Fabian Nicieza | Christopher Mooneyham,,0
"Knight Terrors, Part Four",Regular Chris Mooneyham Cover,53A,4,Nightwing,DC Comics,2019-06-10,Scott Lobdell | Fabian Nicieza | Patrick Zircher,,0
"Knight Terrors, Stepping Into Air",Regular Chris Mooneyham Cover,54A,4,Nightwing,DC Comics,2019-06-10,Scott Lobdell | Fabian Nicieza | Will Conrad,,0
"Knight Terrors, Part 6",Regular Chris Mooneyham Cover,55A,4,Nightwing,DC Comics,2019-06-10,Scott Lobdell | Fabian Nicieza | Garry Brown,,0
"Knight Terrors, Part 7",Regular Chris Mooneyham Cover,56A,4,Nightwing,DC Comics,2019-06-10,Scott Lobdell | Fabian Nicieza | Davide Gianfelice,,0
Heroes Without a Home,Regular Chris Mooneyham Cover,57A,4,Nightwing,DC Comics,2019-06-10,Scott Lobdell | Zack Kaplan | Travis Moore,,0
Corrosion of the Corrupted,Regular Chris Mooneyham Cover,58A,4,Nightwing,DC Comics,2019-06-10,Scott Lobdell | Zack Kaplan | Travis Moore,,0
N/A,Regular Chris Mooneyham Cover,59A,4,Nightwing,DC Comics,2019-06-10,Dan Jurgens | Christopher Mooneyham,,0
"City Ablaze, Part Two",Regular Chris Mooneyham Cover,60A,4,Nightwing,DC Comics,2019-06-21,Dan Jurgens | Christopher Mooneyham,,0
N/A,Regular Kyle Hotz Cover,61A,4,Nightwing,DC Comics,2019-06-21,Dan Jurgens | Ronan Cliquet,,0
N/A,Regular Bruno Redondo Cover,62A,4,Nightwing,DC Comics,2019-07-27,Dan Jurgens | Ronan Cliquet,,0
N/A,Regular Bruno Redondo Cover,63A,4,Nightwing,DC Comics,2019-08-24,Dan Jurgens | Ronan Cliquet,,0
Year of the Villain: Evil Unleashed - Evil Unleashed,Regular Bruno Redondo Cover,64A,4,Nightwing,DC Comics,2019-10-17,Dan Jurgens | Ronan Cliquet,,0
Sins Of The Grandfather,Regular Bruno Redondo Cover,65A,4,Nightwing,DC Comics,2019-11-24,Dan Jurgens | Ronan Cliquet,,0
N/A,Regular Jonboy Meyers Acetate Cover,66A,4,Nightwing,DC Comics,2019-11-24,Dan Jurgens | Ronan Cliquet,,0
N/A,Regular Bruno Redondo Cover,67A,4,Nightwing,DC Comics,2019-12-22,Dan Jurgens | Ronan Cliquet,,0
The Brain Bomb,Regular Travis Moore Cover,68A,4,Nightwing,DC Comics,2020-02-23,Dan Jurgens | Travis Moore | Ronan Cliquet,,0
The Very Unfriendly Owl,N/A,69A,4,Nightwing,DC Comics,2020-02-23,Dan Jurgens | Ronan Cliquet,,0
Joker War - From The Darkness,Regular Mike Perkins Cover,70A,4,Nightwing,DC Comics,2020-06-19,Dan Jurgens | Ryan Benjamin | Scott Hanna,,0
Joker War - War for the Mind,Regular Mike Perkins Cover,71A,4,Nightwing,DC Comics,2020-08-08,Dan Jurgens | Ronan Cliquet,,0
N/A,N/A,72A,4,Nightwing,DC Comics,2020-08-09,Dan Jurgens | Ronan Cliquet,,0
Joker War: Collateral Damage - Son Of The Joker!,Regular Travis Moore Cover,73A,4,Nightwing,DC Comics,2020-12-04,Dan Jurgens | Ryan Benjamin | Richard Friend,,0
Joker War: Collateral Damage - Crystal Cleared,Regular Travis Moore Cover,74A,4,Nightwing,DC Comics,2020-12-04,Dan Jurgens | Ryan Benjamin | Richard Friend,,0
Joker War: Collateral Damage - Who Is Dick Grayson?,Regular Travis Moore Cover,75A,4,Nightwing,DC Comics,2020-12-04,Dan Jurgens | Travis Moore | Ronan Cliquet,,0
The Problem With Napkin Man,Regular Travis Moore Cover,76A,4,Nightwing,DC Comics,2020-12-05,Dan Jurgens | Ronan Cliquet,,0
Abstract Holidays,Travis Moore Regular Cover,77A,4,Nightwing,DC Comics,2020-12-22,Dan Jurgens | Ronan Cliquet,,0
"Leaping Into the Light, Part One",N/A,78A,4,Nightwing,DC Comics,2021-06-02,Thomas Taylor | Bruno Redondo,,0
"Leaping Into the Light, Leaping Into the Light Part Two",Bruno Redondo Regular Cover,79A,4,Nightwing,DC Comics,2021-06-02,Thomas Taylor | Bruno Redondo,,0
N/A,Card Stock Variant Edition,80B,4,Nightwing,DC Comics,2021-06-02,Thomas Taylor | Bruno Redondo,,0
N/A,Regular Bruno Redondo Cover,81A,4,Nightwing,DC Comics,2021-06-18,Thomas Taylor | Bruno Redondo,,0
N/A,Regular Bruno Redondo Cover,82A,4,Nightwing,DC Comics,2021-07-22,Tom Taylor | Bruno Redondo | Neil Edwards,,0
"Leaping Into The Light, Part 6",N/A,83A,4,Nightwing,DC Comics,2021-08-20,Tom Taylor | Bruno Redondo,,0
"Fear State, Part 1",Regular Bruno Redondo Cover,84A,4,Nightwing,DC Comics,2021-09-24,Tom Taylor | Robbi Rodriguez,,0
"Fear State, Part 2 of 3",Regular Bruno Redondo Cover,85A,4,Nightwing,DC Comics,2021-10-22,Tom Taylor | Robbi Rodriguez,,0
"Fear State, Part 3 of 3",N/A,86A,4,Nightwing,DC Comics,2021-11-19,Tom Taylor | Robbi Rodriguez,,0
Deadline,N/A,1,4 Annual,Nightwing,DC Comics,2019-01-19,Benjamin Percy | Otto Schmidt,,0
The Very Friendly Owl,N/A,2,4 Annual,Nightwing,DC Comics,2019-11-24,Dan Jurgens | Travis Moore,,0
Wings Up,N/A,3,4 Annual,Nightwing,DC Comics,2020-08-08,Dan Jurgens | Inaki Miranda,,0
N/A,N/A,3,1,Nightwing: The New Order,DC Comics,2018-01-05,Kyle Higgins | Trevor McCarthy,,0
N/A,N/A,1,1,Nintendo Comics System,Valiant Comics,2014-02-23,N/A,,0
Melting Fire With Ice,N/A,4,1,Nomad,Marvel Comics,2014-02-23,Fabian Nicieza | James W. Fry III | Mark McKenna,,0
"Big Brain Play, Chapter One",Regular David Finch Cover,1A,1,Non-Stop Spider-Man,Marvel Comics,2021-06-02,Joe Kelly | Chris Bachalo | Tim Townsend,,0
"Big Brain Play, Part Two",Regular David Finch Cover,2A,1,Non-Stop Spider-Man,Marvel Comics,2021-06-14,Joe Kelly | Chris Bachalo | Wayne Faucher,,0
N/A,Regular David Finch Cover,3A,1,Non-Stop Spider-Man,Marvel Comics,2021-06-15,Joe Kelly | Chris Bachalo | Wayne Faucher,,0
N/A,Regular David Finch Cover,4A,1,Non-Stop Spider-Man,Marvel Comics,2021-09-17,Joe Kelly | Chris Bachalo | Wayne Faucher,,0
N/A,Regular RB Silva Cover,5A,1,Non-Stop Spider-Man,Marvel Comics,2021-10-01,Joe Kelly | Gerardo Sandoval | Cory Smith,,0
The Mead of Poets,Regular P Craig Russell Cover,1A,1,Norse Mythology II,Dark Horse Comics,2021-06-18,P. Craig Russell | Matt Horak,,0
The Mead of Poets,N/A,2A,1,Norse Mythology II,Dark Horse Comics,2021-07-16,Neil Gaiman | P. Craig Russell | Matt Horak,,0
The Mead of Poets,P Craig Russell,3A,1,Norse Mythology II,Dark Horse Comics,2021-09-17,N/A,,0
N/A,P Craig Russell,4A,1,Norse Mythology II,Dark Horse Comics,2021-09-24,N/A,,0
The Apples of Immortality,P Craig Russell,5A,1,Norse Mythology II,Dark Horse Comics,2021-10-16,Neil Gaiman | Gabriel Hernandez Walta,,0
The Apples of Immortality,N/A,6A,1,Norse Mythology II,Dark Horse Comics,2021-11-19,Neil Gaiman | Sandy Jarrell | Gabriel Hernandez Walta,,0
No End In Sight - No End In Sight,Variant Mark Brooks Interlocking Cover,1B,1,Nova Special,Marvel Comics,2014-09-01,Sean Ryan | John Timms | Roberto Poggi,,0
N/A,Ed McGuinness Regular Cover,1A,5,Nova,Marvel Comics,2014-02-23,"Jeph Loeb | Edward McGuinness, Jr. | Dexter Vines",,0
Chapter Two: Believe,Ed McGuinness Regular Cover,2A,5,Nova,Marvel Comics,2014-02-23,"Jeph Loeb | Edward McGuinness, Jr. | Dexter Vines",,0
Chapter Three: Train,Ed McGuinness Regular Cover,3A,5,Nova,Marvel Comics,2014-02-23,"Jeph Loeb | Edward McGuinness, Jr. | Dexter Vines",,0
Chapter Four,Ed McGuinness Regular Cover,4A,5,Nova,Marvel Comics,2014-02-23,"Jeph Loeb | Edward McGuinness, Jr. | Dexter Vines",,0
Chapter Five: Victory,Ed McGuinness Regular Cover,5A,5,Nova,Marvel Comics,2014-02-23,"Jeph Loeb | Edward McGuinness, Jr. | Dexter Vines",,0
Chapter Six: Home Field,N/A,6,5,Nova,Marvel Comics,2014-02-23,Zeb Wells | Paco Medina | Juan Vlasco,,0
Away Game,N/A,7,5,Nova,Marvel Comics,2014-02-23,Zeb Wells | Paco Medina | Juan Vlasco,,0
Infinity - Chapter Eight: Infinity,Regular Ed McGuinness Cover,8A,5,Nova,Marvel Comics,2014-02-23,Zeb Wells | Paco Medina | Juan Vlasco,,0
Infinity - Chapter Nine: Infinity2,N/A,9,5,Nova,Marvel Comics,2014-02-23,Zeb Wells | Paco Medina | Juan Vlasco,,0
Chapter Ten: Land And Launch,Regular Ed McGuinness Cover,10A,5,Nova,Marvel Comics,2014-02-23,Gerry Duggan | Zeb Wells | Y. Stewart,,0
Chapter Xi: Pawn Takes Night,N/A,11,5,Nova,Marvel Comics,2014-02-23,Gerry Duggan | Paco Medina | Juan Vlasco,,0
Chapter Xii: Help Wanted,N/A,12,5,Nova,Marvel Comics,2014-03-22,Gerry Duggan | Paco Medina | Juan Vlasco,,0
The Punch-Out At The Carefree Corral,Ed McGuinness Regular Cover,13.NOW-A,5,Nova,Marvel Comics,2014-03-22,Gerry Duggan | Paco Medina | Juan Vlasco,,0
Chapter XIV: Road to Knowhere,Paco Medina Regular Cover,14A,5,Nova,Marvel Comics,2014-05-03,Gerry Duggan | David Baldeón | Terry Pallot,,0
Chapter XV: Can We Keep Him?,Paco Medina Regular Cover,15A,5,Nova,Marvel Comics,2014-05-03,Gerry Duggan | David Baldeón | Terry Pallot,,0
Battle Skaarns,N/A,16,5,Nova,Marvel Comics,2014-05-03,Gerry Duggan | David Baldeón | Terry Pallot,,0
N/A,N/A,17,5,Nova,Marvel Comics,2014-06-12,Gerry Duggan | Paco Medina | Juan Vlasco,,0
Original Sin,Regular Paco Medina Cover,18A,5,Nova,Marvel Comics,2014-07-16,Gerry Duggan | David Baldeón | Terry Pallot,,0
Original Sin,N/A,19,5,Nova,Marvel Comics,2014-07-20,Gerry Duggan | David Baldeón | Terry Pallot,,0
Original Sin,N/A,20,5,Nova,Marvel Comics,2014-09-01,Gerry Duggan | David Baldeón | Terry Pallot,,0
Moving Day,N/A,21,5,Nova,Marvel Comics,2014-10-18,Gerry Duggan | David Baldeón | Terry Pallot,,0
Chapter XXII: Children of the Candy Corn,David Williams Regular Cover,22A,5,Nova,Marvel Comics,2015-08-08,Gerry Duggan | John Timms | Federico Santagati,,0
Axis - Chapter XXIII: Wouldn't Mama Be Proud,N/A,23,5,Nova,Marvel Comics,2015-08-08,Gerry Duggan | David Baldeón | Terry Pallot,,0
Axis - Chapter XXIV: Stupidity Tries,N/A,24,5,Nova,Marvel Comics,2015-08-08,Gerry Duggan | David Baldeón | Terry Pallot,,0
Axis - Chapter XXV: The Super-Saver Club Card,Regular Zachary Montoya Cover,25A,5,Nova,Marvel Comics,2015-08-08,Gerry Duggan | David Baldeón | Juan Vlasco,,0
Chapter XXVI: Look What the Bus Dragged In,N/A,26,5,Nova,Marvel Comics,2015-08-08,Gerry Duggan | John Timms | Roberto Poggi,,0
Chapter XXVII: Mr.Carnage Goes to Carefree,N/A,27,5,Nova,Marvel Comics,2015-08-08,Gerry Duggan | John Timms | Roberto Poggi,,0
Black Vortex - Chapter Eight,Regular Orphans Cheeps Cover,28A,5,Nova,Marvel Comics,2015-08-08,Gerry Duggan | David Baldeón | Terry Pallot,,0
"A Sort of Homecoming, Part 1",N/A,29,5,Nova,Marvel Comics,2015-07-10,Gerry Duggan | David Baldeón | Terry Pallot,,0
"A Sort of Homecoming, Part 2",N/A,30,5,Nova,Marvel Comics,2015-07-10,Gerry Duggan | David Baldeón | Terry Pallot,,0
"A Sort of Homecoming, Finale",N/A,31,5,Nova,Marvel Comics,2015-07-10,Gerry Duggan | David Baldeón | Terry Pallot,,0
The Adventures of Doc & Sammy,Orphans Cheeps Regular Cover,1A,5 Annual,Nova,Marvel Comics,2015-07-10,Gerry Duggan | David Baldeón | Terry Pallot,,0
N/A,Humberto Ramos Regular Cover,1A,6,Nova,Marvel Comics,2016-03-19,Sean Ryan | Cory Smith,,0
N/A,Humberto Ramos Regular Cover,2A,6,Nova,Marvel Comics,2016-03-19,Sean Ryan | Cory Smith,,0
N/A,Humberto Ramos Regular Cover,3A,6,Nova,Marvel Comics,2016-03-19,Sean Ryan | Cory Smith,,0
N/A,N/A,4A,6,Nova,Marvel Comics,2016-03-19,Sean Ryan | Cory Smith,,0
N/A,N/A,5,6,Nova,Marvel Comics,2016-03-19,Sean Ryan | Cory Smith | Scott Hanna,,0
N/A,N/A,6,6,Nova,Marvel Comics,2016-05-19,Sean Ryan | Cory Smith,,0
N/A,N/A,7,6,Nova,Marvel Comics,2016-05-19,Sean Ryan | R.B. Silva | Adriano Di Benedetto,,0
N/A,N/A,10,6,Nova,Marvel Comics,2018-07-15,Sean Ryan | Cory Smith,,0
N/A,N/A,11,6,Nova,Marvel Comics,2018-07-15,Sean Ryan | Cory Smith,,0
N/A,Regular Ramon Perez Cover,1A,7,Nova,Marvel Comics,2018-07-15,Jeff Loveness | Ramon Perez,,0
N/A,Regular Ramon Perez Cover,2A,7,Nova,Marvel Comics,2018-07-15,Jeff Loveness | Ramon Perez,,0
N/A,Regular Ramon Perez Cover,3A,7,Nova,Marvel Comics,2018-07-15,Jeff Loveness | Ramon Perez,,0
N/A,N/A,4,7,Nova,Marvel Comics,2018-07-15,Jeff Loveness | Ramon Perez,,0
N/A,N/A,5,7,Nova,Marvel Comics,2018-07-15,Jeff Loveness | Ramon Perez,,0
N/A,N/A,6,7,Nova,Marvel Comics,2018-07-15,Jeff Loveness | Ramon Perez | Scott Hepburn,,0
N/A,Dan Mora & Ian Herring Regular Cover,7,7,Nova,Marvel Comics,2018-07-15,Jeff Loveness | Ramon Perez | Scott Hepburn,,0
Obi-Wan and Anakin,Regular Marco Checchetto Cover,1A,1,Obi-Wan and Anakin,Marvel Comics,2016-01-11,Charles Soule | Marco Checchetto,,0
Part II,Regular Marco Checchetto Cover,2A,1,Obi-Wan and Anakin,Marvel Comics,2016-03-19,Charles Soule | Marco Checchetto,,0
Part III,N/A,3,1,Obi-Wan and Anakin,Marvel Comics,2016-04-09,Charles Soule | Marco Checchetto,,0
N/A,N/A,4,1,Occupy Avengers,Marvel Comics,2018-07-15,David F. Walker | Carlos Pacheco | Rafael Fonteriz,,0
N/A,Regular Paulo Siqueira Cover,5A,1,Occupy Avengers,Marvel Comics,2018-07-15,David F. Walker | Gabriel Hernandez Walta,,0
N/A,N/A,6,1,Occupy Avengers,Marvel Comics,2018-07-15,David F. Walker | Gabriel Hernandez Walta,,0
N/A,N/A,7,1,Occupy Avengers,Marvel Comics,2018-07-15,David F. Walker | Gabriel Hernandez Walta,,0
N/A,N/A,8,1,Occupy Avengers,Marvel Comics,2018-07-16,David F. Walker | Jorge Coelho | Martin Morazzo,,0
Abomination To Avengers Quinjet,N/A,1,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Alan Zelenetz | Peter Sanderson | Ralph Macchio,,0
Baron Mordo To The Collective Man,N/A,2,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Peter Sanderson | Bob Simpson | Nelson Chin,,0
The Collector To Dracula,N/A,3,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Roger Stern | Peter Sanderson | Bob Simpson,,0
Dragon Man To Gypsy Moth,N/A,4,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Roger Stern | Peter Sanderson | Bob Simpson,,0
Hangman To Juggernaut,N/A,5,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Roger Stern | Peter Sanderson | Bob Simpson,,0
Kang To Man-Bull,N/A,6,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Roger Stern | Lou Mougin | Peter Sanderson,,0
Mandarin To Mystique,N/A,7,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Peter Sanderson | Bob Simpson | Joanne Harras,,0
Namorita To Pyro,N/A,8,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Kurt Busiek | Roger Stern | Peter Sanderson,,0
Quasar To She-Hulk,N/A,9,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Peter Sanderson | Joanne Harras | Mark Lerer,,0
Shi'ar To Sub-Mariner,N/A,10,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Peter Sanderson | Joanne Harras | Mark Lerer,,0
Subterraneans To Ursa Major,N/A,11,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Peter Sanderson | Bob Simpson | Joanne Harras,,0
Valkyrie To Zzzax,N/A,12,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Peter Sanderson | Joanne Harras | Mark Lerer,,0
"Book of the Dead and Inactive, Part 1: Air-Walker To Man-Wolf",First Printing,13,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Tom DeFalco | Steven Grant | Peter Sanderson,,0
"Book of the Dead and Inactive, Part 2: Marvel Boy To Zuras",N/A,14,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Steven Grant | Peter Sanderson | Mark Lerer,,0
"Book Of Weapons, Hardware And Paraphernalia",N/A,15,1,Official Handbook of the Marvel Universe,Marvel Comics,2014-02-23,Roger Stern | Peter Sanderson | Mark Gruenwald,,0
N/A,First Printing,2,1,Official Marvel Index To The Amazing Spider-Man,Marvel Comics,2014-02-23,N/A,,0
Secret Wars,Andrea Sorrentino Regular Cover,1A,1,Old Man Logan,Marvel Comics,2015-07-10,Brian Michael Bendis | Andrea Sorrentino,,0
Secret Wars,Andrea Sorrentino Regular Cover,2A,1,Old Man Logan,Marvel Comics,2015-11-20,Brian Michael Bendis | Andrea Sorrentino,,0
Secret Wars,Andrea Sorrentino Regular Cover,3A,1,Old Man Logan,Marvel Comics,2015-11-20,Brian Michael Bendis | Andrea Sorrentino,,0
Secret Wars,Andrea Sorrentino Regular Cover,4A,1,Old Man Logan,Marvel Comics,2015-11-20,Brian Michael Bendis | Andrea Sorrentino,,0
Secret Wars,N/A,5,1,Old Man Logan,Marvel Comics,2015-11-20,Brian Michael Bendis | Andrea Sorrentino,,0
"Berserker, Part One",Andrea Sorrentino Regular Cover,1A,2,Old Man Logan,Marvel Comics,2016-02-21,Jeff Lemire | Andrea Sorrentino,,0
"Berserker, Part Two",Andrea Sorrentino Regular Cover,2A,2,Old Man Logan,Marvel Comics,2016-02-21,Jeff Lemire | Andrea Sorrentino,,0
"Berserker, Part Three",Andrea Sorrentino Regular Cover,3A,2,Old Man Logan,Marvel Comics,2016-03-19,Jeff Lemire | Andrea Sorrentino,,0
"Berserker, Part Four",Andrea Sorrentino Regular Cover,4A,2,Old Man Logan,Marvel Comics,2016-04-09,Jeff Lemire | Andrea Sorrentino,,0
"Bordertown, Part One",Andrea Sorrentino Regular Cover,5A,2,Old Man Logan,Marvel Comics,2016-06-03,Jeff Lemire | Andrea Sorrentino,,0
"Bordertown, Part Two",N/A,6,2,Old Man Logan,Marvel Comics,2016-06-03,Jeff Lemire | Andrea Sorrentino,,0
Bordertown,N/A,7,2,Old Man Logan,Marvel Comics,2016-06-03,Jeff Lemire | Andrea Sorrentino,,0
N/A,Andrea Sorrentino Regular Cover,8A,2,Old Man Logan,Marvel Comics,2017-02-25,Jeff Lemire | Andrea Sorrentino,,0
"The Last Ronin, Part 1",N/A,9,2,Old Man Logan,Marvel Comics,2017-02-25,Jeff Lemire | Andrea Sorrentino,,0
"The Last Ronin, Part 2",Regular Cover - Andrea Sorrentino,10A,2,Old Man Logan,Marvel Comics,2017-02-25,Jeff Lemire | Andrea Sorrentino,,0
"The Last Ronin, Part 3",Regular Andrea Sorrentino Cover,11,2,Old Man Logan,Marvel Comics,2017-02-24,Jeff Lemire | Andrea Sorrentino,,0
"The Last Ronin, Part 4",Regular Andrea Sorrentino Cover,12,2,Old Man Logan,Marvel Comics,2017-02-24,Jeff Lemire | Andrea Sorrentino,,0
N/A,N/A,13,2,Old Man Logan,Marvel Comics,2017-02-24,Jeff Lemire | Andrea Sorrentino,,0
"Monster War, Part 1",N/A,14,2,Old Man Logan,Marvel Comics,2017-02-24,Jeff Lemire | Filipe Andrade,,0
"Monster War, Part II",N/A,15,2,Old Man Logan,Marvel Comics,2017-02-25,Jeff Lemire | Filipe Andrade,,0
Return to the Wastelands,N/A,16,2,Old Man Logan,Marvel Comics,2017-08-06,Jeff Lemire | Andrea Sorrentino,,0
N/A,N/A,17,2,Old Man Logan,Marvel Comics,2017-08-06,Jeff Lemire | Andrea Sorrentino,,0
"Return to the Wastelands, Part 3",N/A,18,2,Old Man Logan,Marvel Comics,2017-08-06,Jeff Lemire | Andrea Sorrentino,,0
"Gone Real Bad, Part One",Regular Andrea Sorrentino Cover,19A,2,Old Man Logan,Marvel Comics,2017-08-06,Jeff Lemire | Filipe Andrade,,0
"Gone Real Bad, Part 2",N/A,20,2,Old Man Logan,Marvel Comics,2017-08-06,Jeff Lemire | Filipe Andrade,,0
"Past Lives, Part 1",Regular Andrea Sorrentino Cover,21A,2,Old Man Logan,Marvel Comics,2017-08-06,Jeff Lemire | Eric Nguyen,,0
"Past Lives, Part II",Regular Andrea Sorrentino Cover,22A,2,Old Man Logan,Marvel Comics,2017-08-06,Jeff Lemire | Eric Nguyen,,0
Past Lives,Regular Andrea Sorrentino Cover,23A,2,Old Man Logan,Marvel Comics,2017-08-06,Jeff Lemire | Eric Nguyen,,0
Past Lives,Regular Andrea Sorrentino Cover,24A,2,Old Man Logan,Marvel Comics,2017-08-06,Jeff Lemire | Eric Nguyen,,0
Days of Anger,Regular Mike Deodato Jr Cover,25A,2,Old Man Logan,Marvel Comics,2017-08-06,Ed Brisson | Mike Deodato Jr.,,0
"Days of Danger, Part Two",Mike Deodato Jr. Regular Cover,26A,2,Old Man Logan,Marvel Comics,2017-08-06,Ed Brisson | Mike Deodato Jr.,,0
"Days of Anger, Part 3",N/A,27,2,Old Man Logan,Marvel Comics,2018-01-28,Ed Brisson | Mike Deodato Jr.,,0
"Days of Anger, Part 4",Regular Mike Deodato Jr Cover,28A,2,Old Man Logan,Marvel Comics,2017-11-05,Ed Brisson | Mike Deodato Jr.,,0
"Days of Anger, Part 5",N/A,29,2,Old Man Logan,Marvel Comics,2018-01-28,Ed Brisson | Mike Deodato Jr.,,0
N/A,N/A,30,2,Old Man Logan,Marvel Comics,2018-01-28,Ed Brisson | Mike Deodato Jr.,,0
"Scarlet Samurai, Part One",Mukesh Singh Regular Cover,31A,2,Old Man Logan,Marvel Comics,2018-01-28,Ed Brisson | Mike Deodato Jr.,,0
N/A,Regular Mike Deodato Jr Cover,32A,2,Old Man Logan,Marvel Comics,2018-01-28,Ed Brisson | Mike Deodato Jr.,,0
N/A,N/A,33,2,Old Man Logan,Marvel Comics,2018-01-28,Ed Brisson | Mike Deodato Jr.,,0
N/A,N/A,34,2,Old Man Logan,Marvel Comics,2018-02-18,Ed Brisson | Ibraim Roberson,,0
N/A,Regular Mike Deodato Jr Cover,35A,2,Old Man Logan,Marvel Comics,2018-02-20,Ed Brisson | Ibraim Roberson,,0
N/A,Regular Mike Deodato Jr Cover,36A,2,Old Man Logan,Marvel Comics,2018-05-05,Ed Brisson | Dalibor Talajic,,0
N/A,N/A,37,2,Old Man Logan,Marvel Comics,2018-05-05,Ed Brisson | Dalibor Talajic,,0
N/A,Regular Mike Deodato Jr Cover,38A,2,Old Man Logan,Marvel Comics,2018-05-05,Ed Brisson | Dalibor Talajic,,0
N/A,N/A,39,2,Old Man Logan,Marvel Comics,2018-05-10,Ed Brisson | Ibraim Roberson,,0
N/A,N/A,40,2,Old Man Logan,Marvel Comics,2018-06-04,Ed Brisson | Ibraim Roberson,,0
N/A,N/A,41,2,Old Man Logan,Marvel Comics,2018-06-18,Ed Brisson | Francesco Manna,,0
N/A,N/A,42,2,Old Man Logan,Marvel Comics,2018-07-12,Ed Brisson | Francesco Manna,,0
N/A,N/A,43,2,Old Man Logan,Marvel Comics,2018-07-15,Ed Brisson | Juan Ferreyra,,0
N/A,N/A,44,2,Old Man Logan,Marvel Comics,2019-01-19,Ed Brisson | Juan Ferreyra,,0
"Bullseye Returns, Conclusion",N/A,45,2,Old Man Logan,Marvel Comics,2019-01-19,Ed Brisson | Juan Ferreyra,,0
N/A,N/A,46,2,Old Man Logan,Marvel Comics,2019-01-19,Ed Brisson | Damian Couceiro,,0
N/A,N/A,47,2,Old Man Logan,Marvel Comics,2019-01-19,Ed Brisson | Damian Couceiro,,0
N/A,N/A,48,2,Old Man Logan,Marvel Comics,2019-01-19,Ed Brisson | Ibraim Roberson,,0
N/A,N/A,49,2,Old Man Logan,Marvel Comics,2019-01-19,Ed Brisson | Ibraim Roberson,,0
